hora_ajustada,minuto_relativo
08:19:08,0.0000
08:19:32,0.4000
08:19:34,0.4333
08:20:50,1.7000
08:22:27,3.3167
08:23:34,4.4333
08:23:54,4.7667
08:28:27,9.3167
08:32:37,13.4833
08:34:38,15.5000
08:38:28,19.3333
08:39:30,20.3667
08:39:36,20.4667
08:40:26,21.3000
08:40:38,21.5000
08:41:11,22.0500
08:43:18,24.1667
08:45:32,26.4000
08:45:47,26.6500
08:46:31,27.3833
08:46:57,27.8167
08:47:03,27.9167
08:48:36,29.4667
08:48:40,29.5333
08:51:13,32.0833
08:52:15,33.1167
08:52:16,33.1333
08:52:50,33.7000
08:55:37,36.4833
08:58:20,39.2000
08:58:29,39.3500
08:59:14,40.1000
09:00:50,41.7000
09:01:42,42.5667
09:02:04,42.9333
09:02:12,43.0667
09:03:22,44.2333
09:03:31,44.3833
09:03:48,44.6667
09:07:05,47.9500
09:09:52,50.7333
09:11:20,52.2000
09:11:20,52.2000
09:11:20,52.2000
09:13:54,54.7667
09:14:46,55.6333
09:15:39,56.5167
09:16:35,57.4500
09:20:52,61.7333
09:23:56,64.8000
09:24:25,65.2833
09:24:34,65.4333
09:27:34,68.4333
09:27:34,68.4333
09:31:28,72.3333
09:32:21,73.2167
09:33:04,73.9333
09:33:38,74.5000
09:34:00,74.8667
09:34:38,75.5000
09:36:47,77.6500
09:37:28,78.3333
09:37:38,78.5000
09:42:25,83.2833
